Субъект;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;147665081;148273746;148514692;148561694;148355867;148459937;148291638;148028613;147802133;147539426;146890128;146303611;145649334;144963650;144333586;143801046;143236582;142862692;142747535;142737196;142833502;142865433;143056383;143347059;143666931;146267288;146544710;146804372;146880432;146780720;146748590;146171015;145557576
    Центральный федеральный округ;38018468;38154938;38138535;38134933;38088155;38115279;38188510;38233707;38283655;38311159;38227656;38175094;38068452;37946810;37965073;38044068;38109006;38183357;38210084;38263261;38334809;38445765;38537608;38678913;38819874;38951479;39104319;39209582;39311413;39378059;39433556;39250960;39104400
        Белгородская область;1387455;1397986;1404959;1419743;1434551;1454923;1467562;1478580;1485855;1494868;1501699;1506976;1508137;1511899;1513860;1511662;1511715;1514153;1520102;1526258;1531781;1532353;1536073;1540985;1544108;1547936;1550137;1552865;1549876;1547418;1549151;1541259;1531917
        Брянская область;1470953;1457987;1456025;1460144;1462308;1469251;1466792;1459181;1448275;1437471;1423178;1407965;1391430;1375004;1360249;1344132;1327652;1312748;1303343;1294251;1286540;1275354;1264416;1253666;1242599;1232940;1225741;1220530;1210982;1200187;1192491;1182682;1168771
        Владимирская область;1657068;1654489;1647701;1642469;1634028;1630514;1623677;1612692;1602911;1592184;1575507;1558052;1539179;1520057;1509571;1497598;1486453;1475861;1466743;1457937;1449773;1441129;1431932;1421742;1413321;1405613;1397168;1389599;1378337;1365805;1358416;1342099;1323659
        Воронежская область;2471569;2469031;2467384;2478686;2488228;2494979;2490675;2484790;2470308;2458558;2441337;2422371;2397111;2374461;2367457;2364932;2360912;2353805;2344413;2338997;2334895;2334809;2331506;2330377;2328959;2331147;2333477;2335408;2333768;2327821;2324205;2305608;2287678
        Ивановская область;1295215;1292642;1285299;1279087;1269218;1260347;1248793;1235701;1222691;1210603;1194595;1178969;1161861;1144540;1131027;1116739;1101862;1089837;1081112;1074309;1067788;1060109;1054040;1048961;1043130;1036909;1029838;1023170;1014646;1004180;997135;987032;976918
        Калужская область;1068443;1073948;1074673;1079108;1080681;1087278;1088982;1086767;1084479;1079831;1070426;1060285;1049614;1038614;1031655;1027581;1023341;1020141;1017726;1015597;1014996;1009191;1008229;1005585;1004544;1010486;1009772;1014570;1012156;1009380;1002575;1000980;1012844
        Костромская область;804999;804405;801880;799790;796563;794082;788538;782010;775987;769681;761907;753972;743967;734453;723142;711978;699761;689815;683416;677793;672938;666391;661764;658906;656389;654390;651450;648157;643324;637267;633385;628423;620776
        Курская область;1332957;1328929;1325156;1328161;1329266;1331632;1325420;1317566;1307963;1296206;1281733;1266467;1248588;1231097;1213372;1195812;1177627;1161582;1151857;1143329;1134990;1125648;1121563;1119262;1118915;1117378;1120019;1122893;1115237;1107041;1104008;1096488;1083584
        Липецкая область;1231486;1233419;1232409;1238911;1242943;1246839;1246232;1244644;1242645;1239185;1233679;1228106;1220476;1211008;1205271;1198580;1193890;1190408;1186707;1181981;1177052;1172026;1165916;1162235;1159866;1157865;1156093;1156221;1150201;1144035;1139371;1128192;1113680
        Московская область;6700180;6720248;6719121;6704332;6677307;6671785;6660192;6657710;6657149;6653499;6628173;6613469;6609152;6616879;6671325;6736742;6783853;6846821;6895369;6958015;7024207;6870552;6955051;7048084;7133620;7231068;7318647;7423470;7503385;7599647;7690863;7708499;7768878
        Орловская область;895123;898256;899207;903489;907552;909379;905510;900489;895703;891035;884269;876672;867553;858312;847051;835165;822096;811389;805207;798855;793144;785592;781281;775826;769980;765231;759721;754816;747247;739467;733498;724686;714094
        Рязанская область;1350263;1350283;1344383;1341302;1335735;1330682;1321534;1311627;1300005;1288562;1274503;1258828;1240958;1223738;1210325;1199404;1188811;1181504;1174337;1167904;1161805;1151838;1148457;1144650;1140844;1135438;1130103;1126739;1121474;1114137;1108847;1098257;1085152
        Смоленская область;1158429;1157671;1152141;1151759;1151190;1155593;1150646;1141255;1129220;1116371;1099389;1082207;1063269;1045878;1039132;1032297;1025442;1017901;1009016;1000711;993018;982887;980482;975188;967896;964791;958630;953201;949348;942363;934889;921127;909856
        Тамбовская область;1319338;1312283;1303360;1303773;1301227;1298622;1288503;1276001;1261659;1247855;1231054;1213591;1193381;1174233;1161854;1150828;1138550;1127014;1116438;1107810;1099650;1089700;1082545;1075748;1068934;1062421;1050295;1040327;1033552;1015966;1006748;994420;980984
        Тверская область;1666534;1662810;1648880;1639834;1627224;1621424;1612273;1599359;1583755;1566617;1543796;1519569;1491451;1465568;1447825;1432612;1415272;1398847;1386952;1375415;1365329;1350086;1342200;1334061;1325249;1315071;1304744;1296799;1283873;1269636;1260379;1245619;1230190
        Тульская область;1856206;1849299;1838700;1834100;1826600;1819774;1809657;1796605;1782063;1765958;1743368;1719665;1694008;1669792;1649221;1631778;1615194;1600138;1587959;1576346;1564654;1550330;1544545;1532436;1521497;1513570;1506446;1499417;1491855;1478818;1466127;1449115;1432570
        Ярославская область;1472126;1473837;1469449;1464220;1456922;1452718;1446797;1437494;1428690;1419433;1406111;1393727;1378417;1364374;1347055;1329799;1312813;1299965;1292536;1286122;1280088;1271006;1271030;1271672;1271766;1271629;1271912;1270736;1265684;1259612;1253389;1241424;1227383
        Город Москва столица Российской Федерации город федерального значения;8880124;9017415;9067808;9066025;9066612;9085457;9246727;9411236;9604297;9783242;9932932;10114203;10269900;10386903;10535681;10726429;10923762;11091428;11186851;11281631;11382161;11776764;11856578;11979529;12108257;12197596;12330126;12380664;12506468;12615279;12678079;12655050;12635466
    Северо-Западный федеральный округ;15310495;15310985;15240166;15132859;14987992;14863656;14749516;14655438;14557008;14465718;14323567;14198896;14072968;13948539;13860249;13793490;13716390;13665082;13630877;13611910;13604203;13625763;13660139;13717733;13800658;13843556;13853694;13899310;13952003;13972070;13981992;13941959;13901069
        Республика Карелия;791719;791459;789509;786088;778118;770690;763360;756003;749837;743573;735462;728813;721538;715213;702847;689601;676041;665032;659404;653766;648718;642582;639681;636932;634402;632533;629875;627083;622484;618056;614064;609071;603067
        Республика Коми;1248891;1239885;1222134;1206079;1192063;1156750;1132650;1115737;1095723;1077990;1057873;1042880;1029644;1016040;999857;982890;962952;944816;934867;922321;911977;899215;889837;880639;872057;864424;856831;850554;840873;830235;820473;813590;803477
        Архангельская область;1575502;1568960;1554584;1537808;1517979;1498182;1476064;1454894;1433874;1414144;1390334;1369118;1350448;1332655;1315549;1299218;1281838;1266667;1257164;1246204;1237493;1224880;1213533;1202295;1191785;1183323;1174078;1165750;1155028;1144119;1136535;1127051;1114322
            Ненецкий автономный округ (Архангельская область);51993;51667;50245;48235;46504;44526;43367;42549;41774;41513;41174;40931;40896;41699;41881;41906;41914;41854;41900;41857;42115;42104;42437;42789;43025;43373;43838;43937;43997;43829;44111;44389;44540
            Архангельская область (кроме Ненецкого автономного округа);1523509;1517293;1504339;1489573;1471475;1453656;1432697;1412345;1392100;1372631;1349160;1328187;1309552;1290956;1273668;1257312;1239924;1224813;1215264;1204347;1195378;1182776;1171096;1159506;1148760;1139950;1130240;1121813;1111031;1100290;1092424;1082662;1069782
        Вологодская область;1354471;1353799;1353220;1351869;1348063;1339926;1332505;1324722;1317144;1309832;1299611;1290370;1278543;1266848;1255924;1245769;1234940;1225780;1219775;1214135;1208364;1201190;1198546;1196196;1193371;1191010;1187685;1183860;1176689;1167713;1160445;1151042;1139499
        Калининградская область;881211;890627;898578;911348;919306;933735;940242;944252;952698;961257;958782;957533;955449;954093;947887;942098;936574;934330;935297;936613;938633;941823;946796;954773;963128;968944;976439;986261;994599;1002187;1012512;1018624;1027678
        Ленинградская область;1667280;1675188;1678862;1680519;1676115;1682657;1685480;1689067;1692972;1693301;1686716;1680358;1672685;1667150;1673287;1681445;1685376;1691111;1692577;1698900;1704905;1718581;1733907;1751135;1763924;1775540;1778857;1791916;1813816;1847867;1875872;1892711;1911586
        Мурманская область;1191468;1188785;1170371;1133261;1100549;1066924;1037162;1012124;987936;964065;941062;922875;905735;889809;873145;856939;839429;823978;815140;805554;799765;794077;787948;780401;771058;766281;762173;757621;753557;748056;741404;732864;724452
        Новгородская область;753369;751908;748820;746950;742100;739368;735557;731464;729747;726027;718565;710261;700859;692138;682965;674519;665616;657584;652198;645369;639697;632799;629748;625855;622430;618703;615692;612522;606476;600296;596508;592415;586129
        Псковская область;844140;842905;837683;836046;832136;830017;826283;820534;813095;804632;793239;781844;769653;758119;746750;734520;720770;708234;699591;690335;681892;671272;666924;661507;656561;651108;646374;642164;636546;629651;626115;620249;613356
        Город Санкт-Петербург город федерального значения;5002444;5007469;4986405;4942891;4881563;4845407;4820213;4806641;4783982;4770897;4741923;4714844;4688414;4656474;4662038;4686491;4712854;4747550;4764864;4798713;4832759;4899344;4953219;5028000;5131942;5191690;5225690;5281579;5351935;5383890;5398064;5384342;5377503
Южный федеральный округ;20696993;21017753;21367353;21656228;21904616;22283505;22455216;22562841;22650342;22719026;22742546;22761875;22853022;22891859;22872976;22865381;22873871;22910976;23013852;23112146;13853714;13851364;13884044;13910179;13963874;14003828;14044580;16428458;16441852;16454550;16466084;16482488;16434898
        Республика Адыгея (Адыгея);434788;436598;441280;446191;448480;449864;450358;450075;450810;450358;449052;447327;446628;446828;444848;443300;440993;438603;437900;439380;439760;439935;442451;444403;446406;449171;451480;453366;453376;454744;463088;463167;468340
        Республика Калмыкия;325040;327956;325524;319605;318032;316633;314656;313103;312031;310457;308347;307281;297583;291850;292168;293179;293515;293011;291654;290277;289672;288902;286689;284140;282021;280564;278733;277803;275413;272647;271135;269984;267756
        Республика Крым;;;;;;;;;;;;;;;;;;;;;;;;;;1895915;1907106;1912168;1913731;1911818;1912622;1901578;1896393
        Краснодарский край;4638102;4690810;4763741;4864010;4940794;5020837;5076003;5114523;5128485;5130451;5133449;5132798;5131618;5119857;5114905;5118903;5127251;5142911;5170686;5194439;5214222;5229998;5284464;5330181;5404273;5453329;5513804;5570945;5603420;5648235;5675462;5683947;5687378
        Астраханская область;997516;1001044;1003253;1004737;1006099;1014170;1019171;1020576;1019880;1016372;1012385;1009281;1005510;1004780;1006073;1006467;1002517;1001300;1005897;1009926;1011120;1009801;1014972;1013840;1016516;1021287;1018626;1018866;1017514;1014065;1005782;997778;989430
        Волгоградская область;2620147;2641862;2656164;2676779;2693887;2717867;2738015;2746454;2751385;2750443;2738531;2725433;2709610;2694232;2672392;2656212;2640392;2629959;2623128;2618062;2614165;2607505;2594825;2583002;2569126;2557397;2545937;2535202;2521276;2507509;2491036;2474556;2449781
        Ростовская область;4307956;4344528;4370389;4404578;4438295;4481882;4490759;4495520;4487864;4475367;4454446;4439314;4417648;4396672;4375520;4352715;4332443;4314652;4297613;4292469;4284775;4275223;4260643;4254613;4245532;4242080;4236000;4231355;4220452;4202320;4197821;4181486;4153763
        Город федерального значения Севастополь;;;;;;;;;;;;;;;;;;;;;;;;;;398973;416263;428753;436670;443212;449138;509992;522057
    Северо-Кавказский федеральный округ;;;;;;;;;;;;;;;;;;;;;9353182;9439041;9492909;9540758;9590085;9659044;9718001;9775770;9823481;9866748;9930933;9967301;9997336
        Республика Дагестан;1820164;1875345;1937297;1990359;2033523;2200039;2218427;2283187;2332837;2392292;2442609;2486002;2536077;2581412;2617502;2652711;2692619;2735837;2788600;2826525;2868759;2914204;2930449;2946035;2963918;2990371;3015660;3041900;3063885;3086126;3110858;3133303;3153857
        Республика Ингушетия;189340;192642;194105;195821;194171;263092;282342;291209;296294;301745;340028;445443;455519;468773;451933;433685;417392;406739;406621;409210;411736;414524;430495;442255;453010;463893;472776;480474;488043;497393;507061;515564;524058
        Кабардино-Балкарская Республика;762288;780768;794380;803318;810033;821149;834504;846310;860502;870822;878990;886698;894356;901051;889639;877308;866158;858460;857282;858126;859576;859792;859063;858946;858397;860709;862254;864454;865828;866219;868350;869191;870487
        Карачаево-Черкесская Республика;419136;424842;428795;433088;433470;435474;437950;439201;440354;441281;439981;440621;439803;438853;444342;450220;454487;461650;466366;470064;473792;477403;474675;471847;469837;469060;467797;466432;466305;465563;465528;465357;464219
        Республика Северная Осетия-Алания;646348;652114;705019;661783;661144;670701;677237;681778;681150;684130;693564;704351;709630;709671;707679;706393;706896;708800;711509;711661;711725;712481;709032;706123;703977;705270;703745;703262;701765;699253;696837;693098;688124
        Чеченская Республика;1100334;1171514;1224703;1280519;1307071;1227980;1224986;1174877;1166896;1159839;1110237;996427;1072867;1105378;1116910;1133172;1152335;1171975;1196920;1224389;1249898;1275113;1302165;1324767;1346438;1370268;1394172;1414865;1436981;1456951;1478726;1497992;1516387
        Ставропольский край;2435834;2477730;2522703;2575440;2619617;2663817;2690808;2706028;2721854;2735469;2740927;2740899;2736173;2732502;2739065;2741116;2746873;2747079;2759676;2767618;2777696;2785524;2787030;2790785;2794508;2799473;2801597;2804383;2800674;2795243;2803573;2792796;2780204
    Приволжский федеральный округ;31763506;31837335;31893085;32003120;32027690;32082075;32048916;31971265;31900634;31837053;31703297;31531441;31316013;31104512;30893142;30678744;30453210;30264056;30146854;30052943;29993193;29879753;29811477;29772235;29738836;29715450;29673644;29636574;29542696;29397213;29287683;29070827;28844264
        Республика Башкортостан;3941321;3962282;3987884;4022150;4037178;4062622;4084473;4098089;4107790;4117545;4119810;4115176;4108249;4102274;4094215;4081349;4066257;4053439;4054821;4059373;4068545;4072085;4064245;4060957;4069698;4071987;4071064;4066972;4063293;4051005;4038151;4013786;4001678
        Республика Марий Эл;753698;755359;757351;758363;757680;757834;756329;753448;750454;747446;743828;739091;732774;726730;722703;718260;713422;708546;704949;701609;699389;695482;692435;690349;688686;687435;685865;684684;682333;680380;679417;675332;671455
        Республика Мордовия;963778;962340;960443;960671;958247;954348;949061;942694;935013;927437;918443;908152;897136;886165;878299;871848;864704;857903;851658;844962;839184;833263;825454;818566;812156;808888;807453;808541;805056;795504;790197;778965;770673
        Республика Татарстан (Татарстан);3653969;3675425;3692334;3719831;3740811;3751808;3761178;3770046;3780352;3789259;3789688;3786845;3781867;3777667;3773105;3768167;3761600;3763106;3766778;3773526;3784458;3787485;3803189;3822038;3838230;3855037;3868730;3885253;3894284;3898628;3902888;3894120;3886395
        Удмуртская Республика;1611461;1616684;1622149;1624841;1620134;1617386;1612618;1607712;1603960;1601409;1595571;1588054;1578187;1568176;1561092;1554292;1545820;1538602;1532946;1528236;1525117;1520390;1518091;1517692;1517050;1517472;1517164;1516826;1513044;1507390;1500955;1493356;1484460
        Чувашская Республика - Чувашия;1337182;1339822;1344014;1347818;1345489;1345431;1343966;1341946;1339194;1338819;1334219;1327743;1319498;1311737;1301632;1291065;1278903;1268614;1263016;1258239;1255852;1250518;1247012;1243431;1239984;1238071;1236628;1235863;1231117;1223395;1217818;1207875;1198429
        Пермский край;3027958;3022108;3012524;3003412;2982229;2963942;2943491;2926057;2909664;2896771;2878903;2858588;2837146;2813770;2783049;2751562;2718765;2691600;2673957;2660359;2648654;2633550;2631073;2634461;2636154;2637032;2634409;2632097;2623122;2610800;2599260;2579261;2556852
        Кировская область;1651726;1648962;1645091;1641886;1632494;1623370;1609480;1595919;1581490;1568722;1553595;1536772;1518378;1498976;1472481;1445356;1418645;1396017;1379383;1365003;1352692;1338758;1327915;1319076;1310929;1304348;1297474;1291684;1283238;1272109;1262402;1250173;1234780
        Нижегородская область;3780256;3773185;3762340;3753098;3737364;3730590;3711116;3691689;3673896;3655489;3628222;3594476;3554696;3515673;3481080;3447896;3414325;3384358;3362817;3343719;3326812;3307648;3296947;3289841;3281496;3270203;3260267;3247713;3234752;3214623;3202946;3176552;3144254
        Оренбургская область;2151097;2159743;2168257;2182602;2196785;2213038;2218052;2215936;2218082;2217558;2211204;2203616;2189876;2176000;2149942;2122459;2093495;2067890;2055701;2044256;2042043;2031497;2023665;2016086;2008566;2001110;1994762;1989589;1977720;1963007;1956835;1942915;1924578
        Пензенская область;1546079;1547825;1547783;1553447;1553178;1553563;1545529;1534965;1524599;1514283;1500196;1484149;1466215;1449233;1439986;1431060;1420065;1411733;1405351;1398160;1392414;1384006;1376538;1368657;1360587;1355618;1348703;1341526;1331655;1318103;1305563;1290898;1274062
        Самарская область;3236370;3247267;3253228;3268767;3278648;3300594;3306798;3305543;3304284;3302566;3291598;3275823;3254055;3235699;3229151;3225275;3225643;3223938;3220938;3221513;3220910;3215311;3214065;3213289;3211187;3212676;3205975;3203679;3193514;3183038;3179532;3154164;3131720
        Саратовская область;2697733;2705042;2707547;2718415;2724629;2734819;2736461;2725785;2721776;2719990;2710645;2699385;2682054;2663481;2639528;2615575;2591231;2572396;2558322;2545296;2535434;2519282;2508754;2503305;2496552;2493024;2487529;2479260;2462950;2440815;2421895;2395111;2360959
        Ульяновская область;1410878;1421291;1432140;1447819;1462824;1472730;1470364;1461436;1450080;1439759;1427375;1413571;1395882;1378931;1366879;1354580;1340335;1325914;1316217;1308692;1301689;1290478;1282094;1274487;1267561;1262549;1257621;1252887;1246618;1238416;1229824;1218319;1203969
    Уральский федеральный округ;12725135;12747603;12714979;12671116;12624712;12635484;12606118;12574651;12582556;12574168;12515498;12471257;12417742;12361257;12284550;12205194;12128731;12080328;12074325;12076020;12087670;12086939;12143438;12197544;12234224;12275853;12308103;12345803;12356229;12350122;12360752;12329500;12294961
        Курганская область;1107280;1105017;1106527;1106598;1100563;1099645;1090355;1080825;1074789;1068503;1059515;1047114;1030748;1016184;999446;981029;961815;946068;934512;925180;918585;908813;896264;885759;877149;869814;861896;854109;845537;834701;827166;818570;805510
        Свердловская область;4765879;4766249;4754897;4732538;4700591;4678975;4660022;4641304;4625057;4607587;4577515;4545942;4514084;4477552;4434165;4394041;4356425;4330579;4320114;4314337;4308472;4297227;4307594;4315830;4320677;4327472;4330006;4329341;4325256;4315699;4310681;4290067;4264340
        Тюменская область;3150282;3169959;3150039;3131928;3140885;3165924;3176398;3184286;3212536;3226093;3218356;3234252;3251484;3269862;3281655;3288337;3293830;3306698;3330607;3351694;3378795;3405265;3459438;3510683;3546345;3581293;3615485;3660030;3692400;3723969;3756536;3778053;3806505
            Ханты-Мансийский автономный округ - Югра (Тюменская область);1267030;1280139;1271505;1267751;1279483;1292985;1303285;1316774;1342991;1359069;1359646;1383449;1411867;1437729;1453541;1462194;1467792;1475188;1491240;1504319;1521222;1537134;1561238;1584063;1597248;1612076;1626755;1646078;1655074;1663795;1674676;1687654;1702240
            Ямало-Ненецкий автономный округ (Тюменская область);489161;488577;477111;463790;467467;478033;487050;491900;497900;498996;496292;498271;503121;508600;510846;514581;517385;521621;524012;522966;524141;524925;536558;541612;539671;539985;534104;536049;538547;541479;544444;547010;552117
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);1394091;1401243;1401423;1400387;1393935;1394906;1386063;1375612;1371645;1368028;1362418;1352532;1336496;1323533;1317268;1311562;1308653;1309889;1315355;1324409;1333432;1343206;1361642;1385008;1409426;1429232;1454626;1477903;1498779;1518695;1537416;1543389;1552148
        Челябинская область;3701694;3706378;3703516;3700052;3682673;3690940;3679343;3668236;3670174;3671985;3660112;3643949;3621426;3597659;3569284;3541787;3516661;3496983;3489092;3484809;3481818;3475634;3480142;3485272;3490053;3497274;3500716;3502323;3493036;3475753;3466369;3442810;3418606
    Сибирский федеральный округ;21105687;21141564;21148857;21112428;21008227;20961636;20882943;20782684;20691133;20604840;20464285;20333014;20178131;20030930;19849333;19676568;19494972;19360336;19303246;19281965;19286955;19251876;19260935;19278201;19292740;19312169;19324031;19326196;19287474;17173335;17118387;17003927;16889404
        Республика Алтай;193275;195577;196962;196371;196977;198542;199879;199933;200461;201699;202441;203030;202945;203038;202571;202333;201674;201744;203128;204687;205386;206530;208425;210344;211645;213703;215161;217007;218063;218866;220181;220954;221559
        Республика Тыва;312576;304459;303300;302348;302160;303452;305042;305404;305316;306169;306152;305729;305216;305493;304957;304066;302889;302357;303783;305306;307323;308132;309347;310460;311761;313777;315637;318550;321722;324423;327383;330368;332609
        Республика Хакасия;570934;572444;573998;574367;573123;571865;570247;567153;564318;561366;557481;554411;549489;545198;541414;537973;533824;531140;531307;531874;532739;532286;532135;533025;534079;535796;536781;537668;537513;536167;534262;532036;528338
        Алтайский край;2640419;2653818;2664886;2680334;2684297;2694271;2688035;2676677;2670454;2662738;2651628;2641079;2621050;2602595;2571987;2539430;2503510;2473024;2453455;2438910;2430765;2417358;2407230;2398751;2390638;2384812;2376774;2365680;2350080;2332813;2317153;2296353;2268179
        Красноярский край;3155929;3163370;3164219;3160594;3139464;3113809;3099424;3085791;3067863;3048716;3022092;3000891;2981746;2961871;2931905;2901930;2869315;2845425;2837013;2832591;2832854;2829105;2838396;2846475;2852810;2858773;2866490;2875301;2876497;2874026;2866255;2855899;2849169
        Иркутская область;2794858;2797005;2793856;2784043;2764225;2748073;2727374;2708178;2686284;2667886;2644022;2623183;2599675;2577702;2552298;2524080;2492143;2467383;2455410;2448287;2440391;2427954;2424355;2422026;2418348;2414913;2412800;2408901;2404195;2397763;2391193;2375021;2357134
        Кемеровская область - Кузбасс;3099236;3100688;3098685;3093199;3072515;3065197;3047514;3024528;3002297;2985392;2963439;2942264;2917769;2893448;2862105;2832963;2805941;2785999;2780231;2776358;2772964;2761255;2750829;2742450;2734075;2724990;2717627;2708844;2694877;2674256;2657854;2633446;2604272
        Новосибирская область;2742075;2744809;2749253;2746874;2733738;2732352;2732721;2729750;2732245;2734031;2725499;2715128;2703012;2688423;2674155;2665984;2654853;2647195;2642727;2648923;2661594;2666465;2686863;2709461;2731176;2746822;2762237;2779555;2788849;2793384;2798170;2785836;2780292
        Омская область;2152578;2161266;2165262;2168933;2164114;2168597;2162178;2156283;2157338;2153911;2136058;2117291;2094735;2075422;2052741;2034091;2016288;2003282;1993290;1987716;1983985;1976560;1974820;1973985;1973876;1978183;1978466;1972682;1960081;1944195;1926665;1903675;1879548
        Томская область;1075182;1078142;1078596;1075425;1067978;1071723;1069603;1066057;1064294;1062469;1057846;1054272;1049770;1045539;1037952;1029944;1024294;1023063;1026307;1031522;1040245;1048538;1057748;1064245;1070128;1074453;1076762;1078891;1078280;1077442;1079271;1070339;1068304
    Дальневосточный федеральный округ;8044797;8063568;8011717;7851010;7714475;7518302;7360419;7248027;7136805;7027462;6913279;6832034;6743006;6679743;6608263;6537601;6460402;6398557;6368297;6338951;6319776;6284932;6265833;6251496;6226640;6211021;6194969;6182679;6165284;8188623;8169203;8124053;8091244
        Республика Бурятия;1048063;1052038;1052030;1046176;1039946;1037366;1033258;1028533;1020468;1013433;1004808;996912;987289;979605;974561;970994;966914;964581;965156;966595;969736;971538;971391;971810;973860;978495;982284;984134;984511;983273;985937;985431;982629
        Забайкальский край;1320562;1317948;1307810;1283764;1269690;1256389;1247668;1234397;1219795;1207030;1192819;1178824;1165435;1152596;1142687;1132780;1123327;1115143;1111439;1109196;1108973;1106155;1099396;1095169;1090344;1087452;1083012;1078983;1072806;1065785;1059700;1053485;1043467
        Республика Саха (Якутия);1111480;1118983;1100342;1079678;1064617;1037155;1020320;1010110;994966;977117;962507;957478;951478;948636;949969;953170;954394;956099;958929;958056;958338;958258;955859;955580;954803;956896;959689;962835;964330;967009;971996;981971;992115
        Камчатский край;476911;478541;475987;458899;439750;421582;406393;397007;388255;380481;372308;366400;361646;357917;350510;343908;336594;330810;327949;325179;323165;321659;320156;320549;319864;317269;316116;314729;315557;314723;313016;311667;312704
        Приморский край;2296684;2309701;2314531;2302779;2284070;2266303;2241793;2217109;2191952;2167274;2141025;2120467;2085743;2067342;2048582;2028377;2006536;1988580;1977392;1969602;1965178;1953545;1950483;1947263;1938516;1933308;1929008;1923116;1913037;1902718;1895868;1877844;1863011
        Хабаровский край;1619663;1624704;1624416;1607662;1591454;1566602;1543701;1525062;1509513;1493881;1473876;1459908;1446177;1434242;1416224;1396800;1376260;1359894;1354848;1351123;1349230;1342887;1342475;1342083;1339912;1338305;1334552;1333294;1328302;1321473;1315643;1301127;1298978
        Амурская область;1055337;1054267;1048649;1029516;1018407;995012;986417;974942;962023;949526;935607;923055;911381;901044;887781;874018;861056;850502;844290;838869;834905;828660;821573;816910;811274;809873;805689;801752;798424;793194;790044;781846;772525
        Магаданская область;390276;384525;365311;323673;300157;266883;240215;229148;220533;211696;201974;193945;187218;181832;178069;173937;170397;166902;163989;160940;159002;156534;154485;152358;150312;148071;146345;145570;144091;141234;140149;139034;137767
        Сахалинская область;713981;715333;714320;706651;688638;659444;629939;612329;595594;581305;569234;560049;552155;545008;536783;529813;521121;513452;509364;504896;501279;496739;495402;493302;491027;488391;487293;487344;490181;489638;488257;485621;484177
        Еврейская автономная область;218330;219458;220231;217801;215960;209552;207190;204403;201724;199172;195135;193198;191899;190585;188412;185763;181653;179405;178711;178148;177500;176304;174412;172671;170377;168368;166120;164217;162014;159913;158305;156500;153831
        Чукотский автономный округ;162135;158056;147930;124351;111422;95769;84451;77917;72245;67010;61613;57534;55309;53137;51933;51815;52391;52913;52825;52138;51179;50346;50988;50780;50555;50540;50157;49822;49348;49663;50288;49527;50040
