Субъект;Место;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Чеченская Республика;все население;2429;2443;1617;0;0;0;0;0;0;0;0;0;0;359;292;305;377;626;899;1143;1207;1238;1184;1310;1181;1056;1231;1076;783;1215;1457;3783
        Чеченская Республика;городское население;;;;;;;;;;;;;;;;;;;;;;597;587;677;718;582;563;569;418;784;1000;2629
        Чеченская Республика;сельское население;;;;;;;;;;;;;;;;;;;;;;641;597;633;463;474;668;507;365;431;457;1154
        Ставропольский край;все население;10835;11339;11426;11569;12075;11861;10548;10935;8910;9592;10708;13222;14417;13782;10952;9973;10711;11819;12121;12118;12208;11965;11512;12125;11953;10826;10563;10366;9864;10514;10216;11552
        Ставропольский край;городское население;;;;;;;;;;;;;;;;;;;;;;7121;6798;7200;7111;6790;6667;6511;6157;6751;6444;7277
        Ставропольский край;сельское население;;;;;;;;;;;;;;;;;;;;;;4844;4714;4925;4842;4036;3896;3855;3707;3763;3772;4275
    Приволжский федеральный округ;все население;94627;103579;116020;124408;129311;126565;107011;105453;90838;101794;121466;154342;184631;176275;126856;120537;129358;136425;139826;138641;126356;132639;128248;129136;137319;117212;116245;115992;112024;114345;106526;120760
    Приволжский федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;101507;98423;98417;105066;90851;90254;89921;86795;89007;82241;93069
    Приволжский федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;31132;29825;30719;32253;26361;25991;26071;25229;25338;24285;27691
        Республика Башкортостан;все население;11092;12160;13393;13856;14535;14924;14389;13450;13764;14024;16191;19396;25247;23501;15398;14180;15431;16467;17453;17902;16607;17977;17854;18250;18192;15953;15645;15572;15383;15399;14573;16704
        Республика Башкортостан;городское население;;;;;;;;;;;;;;;;;;;;;;12458;13463;13770;13824;12156;11893;11897;11736;11851;11011;12526
        Республика Башкортостан;сельское население;;;;;;;;;;;;;;;;;;;;;;5519;4391;4480;4368;3797;3752;3675;3647;3548;3562;4178
        Республика Марий Эл;все население;1738;1983;2241;2637;2733;2685;1878;1835;1813;1821;2138;3033;3794;3607;2499;2319;2793;2901;2926;2884;2751;2853;2791;2942;3063;2548;2544;2490;2569;2400;2294;2495
        Республика Марий Эл;городское население;;;;;;;;;;;;;;;;;;;;;;2016;1923;2057;2127;1828;1837;1801;1869;1731;1704;1826
        Республика Марий Эл;сельское население;;;;;;;;;;;;;;;;;;;;;;837;868;885;936;720;707;689;700;669;590;669
        Республика Мордовия;все население;2489;2404;2742;2969;3223;3131;2710;2784;2123;2354;3145;3947;5262;4508;3131;3050;3101;3476;3462;3339;2980;3042;3123;3450;3168;2687;2659;2648;2614;2571;2295;2496
        Республика Мордовия;городское население;;;;;;;;;;;;;;;;;;;;;;2169;2143;2361;2100;1846;1876;1848;1755;1843;1651;1741
        Республика Мордовия;сельское население;;;;;;;;;;;;;;;;;;;;;;873;980;1089;1068;841;783;800;859;728;644;755
        Республика Татарстан (Татарстан);все население;10752;11703;13223;14705;14951;14498;12033;12266;11108;11394;12820;15921;21020;17867;12842;14279;15245;15416;15671;14669;13960;14747;12765;13603;15106;13450;13450;13586;13456;13317;11353;14877
        Республика Татарстан (Татарстан);городское население;;;;;;;;;;;;;;;;;;;;;;12330;10666;11341;12462;11214;11284;11330;11199;10942;9226;12212
        Республика Татарстан (Татарстан);сельское население;;;;;;;;;;;;;;;;;;;;;;2417;2099;2262;2644;2236;2166;2256;2257;2375;2127;2665
        Удмуртская Республика;все население;4239;4534;5062;5394;5858;5617;4373;4052;3625;4080;5043;6099;7373;6709;5369;4849;5416;5799;6100;6160;5619;5835;5637;6053;6514;5274;5338;5265;3899;5317;5147;5594
        Удмуртская Республика;городское население;;;;;;;;;;;;;;;;;;;;;;4317;4156;4117;4426;3679;3668;3634;2631;3685;3562;3764
        Удмуртская Республика;сельское население;;;;;;;;;;;;;;;;;;;;;;1518;1481;1936;2088;1595;1670;1631;1268;1632;1585;1830
        Чувашская Республика - Чувашия;все население;2811;3113;3670;4041;4311;4312;3257;3105;2927;3085;3626;4650;5342;5170;5045;4378;4406;4539;4786;5053;4336;4475;4431;4657;4843;4025;4077;3887;3881;3871;3663;4296
        Чувашская Республика - Чувашия;городское население;;;;;;;;;;;;;;;;;;;;;;3152;3100;3198;3414;2907;2975;2856;2853;2879;2669;3085
        Чувашская Республика - Чувашия;сельское население;;;;;;;;;;;;;;;;;;;;;;1323;1331;1459;1429;1118;1102;1031;1028;992;994;1211
        Пермский край;все население;7977;9615;10712;11524;12143;11367;8851;8641;6612;8425;9454;12309;13638;13577;10137;9867;11035;12196;12295;11768;10657;11322;11450;12428;12569;10667;10952;11156;10715;11011;10385;11727
        Пермский край;городское население;;;;;;;;;;;;;;;;;;;;;;9004;8929;9638;9787;8430;8682;8847;8432;8714;8272;9238
        Пермский край;сельское население;;;;;;;;;;;;;;;;;;;;;;2318;2521;2790;2782;2237;2270;2309;2283;2297;2113;2489
        Кировская область;все население;4263;4648;5539;6070;6225;6347;4685;4369;3619;4247;5317;7116;7469;7707;5375;5846;5526;6177;6465;6524;5794;6066;5968;6504;6566;5275;5297;5291;5032;5064;4746;5271
        Кировская область;городское население;;;;;;;;;;;;;;;;;;;;;;4702;4637;5053;5087;4142;4205;4150;3983;4077;3804;4226
        Кировская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1364;1331;1451;1479;1133;1092;1141;1049;987;942;1045
        Нижегородская область;все население;10176;10855;12595;13917;14427;15031;12333;12435;10850;13230;16041;21664;27700;31691;19469;17247;18664;18935;17275;17010;15335;15587;14897;13236;15935;13385;13144;13593;12698;13592;12338;13198
        Нижегородская область;городское население;;;;;;;;;;;;;;;;;;;;;;12974;12122;10752;13124;11208;10976;11267;10634;11377;10206;10949
        Нижегородская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2613;2775;2484;2811;2177;2168;2326;2064;2215;2132;2249
        Оренбургская область;все население;7066;7760;8718;8915;9637;9012;7603;8124;6691;7713;9487;13817;15589;12912;9224;9271;9659;10279;10412;10428;9285;10417;10201;8693;10351;8717;8768;8573;8437;8424;8200;9342
        Оренбургская область;городское население;;;;;;;;;;;;;;;;;;;;;;6355;6220;5225;6249;5380;5379;5193;5088;5133;5051;5700
        Оренбургская область;сельское население;;;;;;;;;;;;;;;;;;;;;;4062;3981;3468;4102;3337;3389;3380;3349;3291;3149;3642
        Пензенская область;все население;4422;4771;4883;5922;6854;6334;5212;5570;4054;4936;6228;7365;8972;7600;5890;5231;5942;6517;7279;6627;6178;6680;6264;6612;6489;5388;5185;5284;5073;5242;4940;5273
        Пензенская область;городское население;;;;;;;;;;;;;;;;;;;;;;4878;4646;4777;4785;3985;3842;3799;3685;3872;3571;3908
        Пензенская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1802;1618;1835;1704;1403;1343;1485;1388;1370;1369;1365
        Самарская область;все население;12487;13823;15079;15809;16413;16024;15813;14371;12217;13210;15843;18081;20389;19637;15508;14173;15215;15763;16555;17023;15452;15779;15340;14288;16418;14224;14070;13774;13932;13551;12762;13925
        Самарская область;городское население;;;;;;;;;;;;;;;;;;;;;;13098;12683;11736;13529;11791;11695;11328;11395;11209;10477;11451
        Самарская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2681;2657;2552;2889;2433;2375;2446;2537;2342;2285;2474
        Саратовская область;все население;10899;11724;12681;12710;11930;11483;9191;9678;7214;8529;10354;12692;14427;13887;11306;10358;11051;11530;12110;12208;6000;5800;7000;6800;12025;10548;10237;10026;9695;9885;9397;10310
        Саратовская область;городское население;;;;;;;;;;;;;;;;;;;;;;5;7;6;9303;8302;8110;8004;7724;7828;7508;8202
        Саратовская область;сельское население;;;;;;;;;;;;;;;;;;;;;;8;8;8;2722;2246;2127;2022;1971;2057;1889;2108
        Ульяновская область;все население;4216;4486;5482;5939;6071;5800;4683;4773;4221;4746;5779;8252;8409;7902;5663;5489;5874;6430;7037;7046;5965;6124;5827;6306;6080;5071;4879;4847;4640;4701;4433;5252
        Ульяновская область;городское население;;;;;;;;;;;;;;;;;;;;;;4916;4704;5014;4849;3983;3832;3967;3811;3866;3529;4241
        Ульяновская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1208;1123;1292;1231;1088;1047;880;829;835;904;1011
    Уральский федеральный округ;все население;45896;51205;55916;58682;61516;62107;52285;54110;48762;50517;59102;76668;85222;78790;62816;57923;62746;68803;71094;69365;63859;67079;65632;64754;68706;59017;58707;59065;57002;59579;54764;63410
    Уральский федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;55470;54132;52960;56422;48830;48714;49171;47700;49933;45538;52742
    Уральский федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;11609;11500;11794;12284;10187;9993;9894;9302;9646;9226;10668
        Курганская область;все население;3090;3486;4124;4531;4957;4813;3380;3328;2891;3264;4312;5012;5507;5536;4653;3837;4488;5120;5441;5234;4523;4721;4745;5019;4909;4127;3983;4050;3393;3871;3626;4142
        Курганская область;городское население;;;;;;;;;;;;;;;;;;;;;;2908;2992;3126;3091;2659;2591;2668;2304;2626;2413;2760
        Курганская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1813;1753;1893;1818;1468;1392;1382;1089;1245;1213;1382
        Свердловская область;все население;16426;18143;20295;21175;22495;22064;18040;19501;18059;17397;19878;28130;28321;24079;19565;18670;19748;21910;22765;22318;20262;21714;21164;22499;22623;19612;19752;19913;19170;20525;18751;22256
        Свердловская область;городское население;;;;;;;;;;;;;;;;;;;;;;18525;18258;19244;19342;16931;17177;17359;16684;18025;16357;19223
        Свердловская область;сельское население;;;;;;;;;;;;;;;;;;;;;;3189;2906;3255;3281;2681;2575;2554;2486;2500;2394;3033
        Тюменская область;все население;13719;15052;15273;16396;17779;17905;16844;17584;16089;17350;19132;21483;24226;23970;19698;18477;19615;20442;21202;21346;20880;21656;20907;20953;21451;19119;18988;19001;18665;18843;16334;18643
        Тюменская область;городское население;;;;;;;;;;;;;;;;;;;;;;18009;17214;16948;17575;15810;15707;15737;15491;15661;13493;15469
        Тюменская область;сельское население;;;;;;;;;;;;;;;;;;;;;;3647;3693;4005;3876;3309;3281;3264;3174;3182;2841;3174
            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;7014;7669;7464;8028;8744;8620;8507;9067;8104;8718;9927;11396;13177;13192;10587;9805;10263;10515;10732;10835;10792;11075;10353;10032;10152;9206;9170;9051;8868;8919;7341;8768
            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;;;;;;;;;;;;;;;;;;;10167;9556;9299;9385;8551;8543;8403;8280;8334;6879;8186
            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;;;;;;;;;;;;;;;;;;;908;797;733;767;655;627;648;588;585;462;582
            Ямало-Ненецкий автономный округ (Тюменская область);все население;2760;3094;3015;3243;3630;3699;3337;3611;3501;3336;3541;3747;4267;4043;3437;3420;3642;3630;3610;3487;3516;3498;3427;3148;3396;3083;3034;2934;2943;2857;2539;2850
            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;;;;;;;;;;;;;;;;;;;3171;3064;2751;3003;2710;2636;2605;2571;2511;2259;2537
            Ямало-Ненецкий автономный округ (Тюменская область);сельское население;;;;;;;;;;;;;;;;;;;;;;327;363;397;393;373;398;329;372;346;280;313
            Тюменская область (без АО);все население;3945;4289;4794;5125;5405;5586;5000;4906;4484;5296;5664;6340;6782;6735;5674;5252;5710;6297;6860;7024;6100;5500;7100;7000;7903;6830;6784;7016;6854;7067;6454;7025
            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;5;6;6;5187;4549;4528;4729;4640;4816;4355;4746
            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;6;8;8;2716;2281;2256;2287;2214;2251;2099;2279
        Челябинская область;все население;12661;14524;16224;16580;16285;17325;14021;13697;11723;12506;15780;22043;27168;25205;18900;16939;18895;21331;21686;20467;18194;18988;18816;16283;19723;16159;15984;16101;15774;16340;16053;18369
        Челябинская область;городское население;;;;;;;;;;;;;;;;;;;;;;16028;15668;13642;16414;13430;13239;13407;13221;13621;13275;15290
        Челябинская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2960;3148;2641;3309;2729;2745;2694;2553;2719;2778;3079
    Сибирский федеральный округ;все население;76454;82397;87697;88430;90670;91736;72870;70963;65133;68855;87624;104655;118230;111727;91464;91129;98411;104007;103817;102470;91851;99608;96498;100689;102837;87662;86811;87174;74816;78673;72034;80409
    Сибирский федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;76669;73678;76761;77921;67985;66922;67325;58435;61443;55902;61708
    Сибирский федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;22939;22820;23928;24916;19677;19889;19849;16381;17230;16132;18701
        Республика Алтай;все население;510;638;625;632;689;759;515;494;436;463;673;732;867;840;738;722;800;911;1076;1057;1054;1151;1030;1164;1211;883;934;916;882;1012;1042;1244
        Республика Алтай;городское население;;;;;;;;;;;;;;;;;;;;;;368;321;385;391;322;305;294;308;332;300;387
        Республика Алтай;сельское население;;;;;;;;;;;;;;;;;;;;;;783;709;779;820;561;629;622;574;680;742;857
        Республика Тыва;все население;613;603;622;643;617;590;410;408;358;390;480;514;646;620;545;439;503;603;632;630;623;694;600;627;635;536;509;561;608;743;608;1042
        Республика Тыва;городское население;;;;;;;;;;;;;;;;;;;;;;512;421;461;479;404;371;411;484;633;488;782
        Республика Тыва;сельское население;;;;;;;;;;;;;;;;;;;;;;182;179;166;156;132;138;150;124;110;120;260
        Республика Хакасия;все население;1950;2129;2466;2341;2467;2601;1935;1849;1726;1890;2472;2907;3505;3138;2410;2502;2663;2801;2808;2775;2494;2748;2682;2407;2875;2475;2484;2509;2078;2382;2504;2679
        Республика Хакасия;городское население;;;;;;;;;;;;;;;;;;;;;;1961;1927;1677;2056;1801;1830;1812;1511;1738;1834;1931
        Республика Хакасия;сельское население;;;;;;;;;;;;;;;;;;;;;;787;755;730;819;674;654;697;567;644;670;748
        Алтайский край;все население;10074;10544;11594;12022;11723;11719;9013;8469;7245;8685;11147;13137;15205;14463;12004;12209;12700;13552;13313;13100;11890;12790;12288;13259;13243;10662;10369;10745;10040;10201;10031;10435
        Алтайский край;городское население;;;;;;;;;;;;;;;;;;;;;;7519;7251;7916;7668;6465;6152;6639;6220;6198;6147;6255
        Алтайский край;сельское население;;;;;;;;;;;;;;;;;;;;;;5271;5037;5343;5575;4197;4217;4106;3820;4003;3884;4180
        Красноярский край;все население;12456;13341;13654;13932;14595;14788;11971;11381;10779;11716;14493;15993;18180;19685;15558;16856;17163;17599;16401;16835;14932;12791;12293;13356;13831;13863;13890;13925;13694;14286;12695;14808
        Красноярский край;городское население;;;;;;;;;;;;;;;;;;;;;;10261;9768;10605;10841;11254;11224;11169;11039;11540;10252;11736
        Красноярский край;сельское население;;;;;;;;;;;;;;;;;;;;;;2530;2525;2751;2990;2609;2666;2756;2655;2746;2443;3072
        Иркутская область;все население;9066;9780;10560;10594;10356;9342;8306;7847;7415;8597;10114;12684;16038;14757;11622;10525;11552;12557;12330;12229;11252;15127;14298;13572;14053;11862;11653;11778;11043;11946;10669;11885
        Иркутская область;городское население;;;;;;;;;;;;;;;;;;;;;;13151;12238;11497;11945;10044;9724;9869;9146;9904;8926;9680
        Иркутская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1976;2060;2075;2108;1818;1929;1909;1897;2042;1743;2205
        Кемеровская область - Кузбасс;все население;11914;12905;13423;13704;14396;14981;11308;11680;10026;10935;14888;16113;17370;15621;12880;13832;15137;15591;15577;14988;13361;14694;14197;14748;14508;12185;12141;11911;11556;11451;10642;11963
        Кемеровская область - Кузбасс;городское население;;;;;;;;;;;;;;;;;;;;;;12940;12481;12877;12704;10845;10853;10522;10256;10188;9491;10657
        Кемеровская область - Кузбасс;сельское население;;;;;;;;;;;;;;;;;;;;;;1754;1716;1871;1804;1340;1288;1389;1300;1263;1151;1306
        Новосибирская область;все население;10993;11962;12355;11978;12374;12370;10570;11015;9301;9336;11910;15659;18295;16411;12566;12079;13845;14750;15769;15186;13256;14352;14429;15473;15871;13237;13034;13085;12550;13281;12235;13188
        Новосибирская область;городское население;;;;;;;;;;;;;;;;;;;;;;11576;11374;12371;12657;10693;10543;10582;10123;11001;10010;10646
        Новосибирская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2776;3055;3102;3214;2544;2491;2503;2427;2280;2225;2542
        Омская область;все население;8652;9468;10223;9967;10118;9915;7850;7403;8595;7177;9831;12017;10960;9943;8690;8236;9153;10154;10524;10052;8999;9712;9671;10497;10500;8684;8649;8668;8375;8540;7600;8409
        Омская область;городское население;;;;;;;;;;;;;;;;;;;;;;7436;7248;7901;7784;6684;6557;6592;6417;6509;5724;6325
        Омская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2276;2423;2596;2716;2000;2092;2076;1958;2031;1876;2084
        Томская область;все население;3793;3783;4294;4513;4797;5753;4359;4182;3591;3774;4695;5749;6552;6215;5784;4868;5352;5694;5602;5773;5115;5799;5319;5858;5596;4919;4702;4585;3990;4831;4008;4756
        Томская область;городское население;;;;;;;;;;;;;;;;;;;;;;3953;3663;4173;3978;3546;3313;3337;2931;3400;2730;3309
        Томская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1846;1656;1685;1618;1373;1389;1248;1059;1431;1278;1447
    Дальневосточный федеральный округ;все население;40410;43172;44961;44088;43254;39943;33973;31762;30865;31167;34085;42316;48001;42750;34673;32654;34770;36484;36731;37470;34256;36219;34417;35965;36435;31708;31102;30673;37656;39976;35617;43104
    Дальневосточный федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;28584;27196;27998;28403;25033;24528;24298;29137;31118;27335;33059
    Дальневосточный федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;7635;7221;7967;8032;6675;6574;6375;8519;8858;8282;10045
        Республика Бурятия;все население;2616;2912;3141;3330;3483;3736;2703;2669;2528;2612;2857;3731;4548;4875;3868;4276;4605;4365;4140;4223;3782;4201;4118;4567;4571;3600;3575;3491;3506;3746;3531;4547
        Республика Бурятия;городское население;;;;;;;;;;;;;;;;;;;;;;2859;2764;3059;3018;2394;2324;2273;2285;2399;2269;2768
        Республика Бурятия;сельское население;;;;;;;;;;;;;;;;;;;;;;1342;1354;1508;1553;1206;1251;1218;1221;1347;1262;1779
        Забайкальский край;все население;3817;4332;4740;4774;5055;5182;3930;3566;3133;3280;4064;5419;6064;5159;4799;4585;4938;5430;5645;5622;5093;5549;5573;5161;5943;4756;4871;5000;4805;5059;4829;5855
        Забайкальский край;городское население;;;;;;;;;;;;;;;;;;;;;;4133;4222;3839;4400;3533;3726;3825;3632;3820;3625;4388
        Забайкальский край;сельское население;;;;;;;;;;;;;;;;;;;;;;1416;1351;1322;1543;1223;1145;1175;1173;1239;1204;1467
        Республика Саха (Якутия);все население;5075;5267;5203;5168;4767;4788;4215;3975;3847;4083;4073;4855;4794;4700;3881;3681;4022;4202;4529;4659;4464;4764;4316;4631;4489;4087;4159;3994;3285;4161;3246;4216
        Республика Саха (Якутия);городское население;;;;;;;;;;;;;;;;;;;;;;3738;3376;3561;3407;3206;3182;3106;2561;3340;2493;3272
        Республика Саха (Якутия);сельское население;;;;;;;;;;;;;;;;;;;;;;1026;940;1070;1082;881;977;888;724;821;753;944
        Камчатский край;все население;3135;3397;3287;3001;3025;2815;2399;2232;2347;2081;2202;2794;3177;2605;1818;1920;2229;2583;2351;2428;2245;2228;2218;2239;2068;1812;1931;1805;1637;1861;1482;1877
        Камчатский край;городское население;;;;;;;;;;;;;;;;;;;;;;1767;1803;1813;1715;1435;1555;1435;1319;1485;1173;1522
        Камчатский край;сельское население;;;;;;;;;;;;;;;;;;;;;;461;415;426;353;377;376;370;318;376;309;355
        Приморский край;все население;11342;11907;12948;12598;12160;10578;9610;8764;8586;9299;9451;12264;14234;13362;11335;10990;11272;10804;10530;11173;10018;10363;9900;10839;11145;9607;9254;9298;9212;9459;8517;10521
        Приморский край;городское население;;;;;;;;;;;;;;;;;;;;;;7955;7638;8305;8558;7509;7264;7251;7192;7477;6563;8291
        Приморский край;сельское население;;;;;;;;;;;;;;;;;;;;;;2408;2262;2534;2587;2098;1990;2047;2020;1982;1954;2230
        Хабаровский край;все население;7913;8450;8851;9130;9331;9053;7309;6910;7049;6856;8068;9670;11034;9592;7393;6685;7347;8244;8118;8319;7649;8099;7940;8240;8261;7160;6914;6920;6655;6885;6244;7304
        Хабаровский край;городское население;;;;;;;;;;;;;;;;;;;;;;6859;6678;6690;6745;5838;5659;5701;5529;5702;5102;6031
        Хабаровский край;сельское население;;;;;;;;;;;;;;;;;;;;;;1240;1262;1550;1516;1322;1255;1219;1126;1183;1142;1273
        Амурская область;все население;4148;4603;5024;5272;5342;5114;4284;4099;3617;3085;3806;4941;6109;5591;4447;4167;4533;5079;5062;5086;4455;5122;4663;4930;4913;4151;4088;3978;4097;4179;3706;4335
        Амурская область;городское население;;;;;;;;;;;;;;;;;;;;;;3632;3276;3432;3450;2984;2915;2866;2889;2981;2678;3027
        Амурская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1490;1387;1498;1463;1167;1173;1112;1208;1198;1028;1308
        Магаданская область;все население;2990;3027;2753;2294;2379;1902;1560;1433;1345;1588;2083;2531;2346;1476;1347;1182;1245;1175;1304;1145;1016;1085;1046;1042;1035;911;928;873;721;758;707;812
        Магаданская область;городское население;;;;;;;;;;;;;;;;;;;;;;1051;1007;997;984;877;889;826;684;736;691;792
        Магаданская область;сельское население;;;;;;;;;;;;;;;;;;;;;;34;39;45;51;34;39;47;37;22;16;20
        Сахалинская область;все население;3790;4446;4722;4448;4147;3747;2920;2857;2785;2915;3069;3654;4504;3870;3057;2810;2833;3065;3446;3325;3124;3353;3166;2824;3233;2885;2794;2732;2729;2832;2465;2417
        Сахалинская область;городское население;;;;;;;;;;;;;;;;;;;;;;2707;2543;2290;2593;2351;2280;2266;2263;2374;2046;2034
        Сахалинская область;сельское население;;;;;;;;;;;;;;;;;;;;;;646;623;534;640;534;514;466;466;458;419;383
        Еврейская автономная область;все население;899;989;1111;1329;1239;1095;825;806;779;755;887;992;1113;1071;974;849;920;915;985;953;938;890;861;926;989;812;773;795;770;789;663;993
        Еврейская автономная область;городское население;;;;;;;;;;;;;;;;;;;;;;614;625;672;705;603;568;609;590;598;509;748
        Еврейская автономная область;сельское население;;;;;;;;;;;;;;;;;;;;;;276;236;254;284;209;205;186;180;191;154;245
        Чукотский автономный округ;все население;1118;1086;1062;848;864;851;851;686;510;505;446;615;690;483;421;370;369;417;406;382;347;315;307;294;302;283;261;278;239;247;227;227
        Чукотский автономный округ;городское население;;;;;;;;;;;;;;;;;;;;;;261;250;238;246;230;216;238;193;206;186;186
        Чукотский автономный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;54;57;56;56;53;45;40;46;41;41;41
